examen_id,intrebare_text,varianta_a,varianta_b,varianta_c,raspuns_corect
"1","Delimitările prin pereţi între celulele unei staţii electrice de interior se utilizează în principal în scopul:","asigurării unui acces mai comod la aparataj;","limitării zgomotului în corpul de conexiuni;","evitării extinderii avariilor.","c"
"1","Curentul care circula printr-un circuit de curent alternativ, având rezistenta r=3 Ω, reactanţa x= 4 Ω si la bornele căruia se aplica o tensiune de 220 V este:","31,5 A","44 A","53,4 A","b"
"1","Curentul din circuitul statoric al unui generator este direct proporţional:","cu tensiunea între faze","cu puterile active generate","cu puterile reactive generate","c"
"1","Durata de viata a lămpilor cu incandescenta:","creste odată cu creşterea frecventei","scade odată cu scăderea tensiunii","scade odată cu creşterea tensiunii","c"
"1","Curentul electric generat prin deplasarea cu viteza v a unui corp încărcat cu o sarcină electrică se numeşte:","curent electric de conducţie","curent electric de convecţie","curent electric de deplasare (Maxwell)","b"
"1","Curentul produs într-un circuit care conţine elemente neliniare şi care este alimentat cu o tensiune sinusoidală este:","întotdeauna nesinusoidal","întotdeauna sinusoidal","nesinusoidal sau sinusoidal, depinde de natura elementelor neliniare","a"
"1","Curentul rezultat prin aplicarea unei tensiuni nesinusoidale la bornele unei bobine este:","mai puţin deformat decât tensiunea care i-a dat naştere","mult mai deformat decât tensiunea care i-a dat naştere","sinusoidal","a"
"1","Curentul rezultat prin aplicarea unei tensiuni nesinusoidale la bornele unui condensator este:","mult mai deformat decât tensiunea care i-a dat naştere","sinusoidal","mai puţin deformat decât tensiune care i-a dat naştere","b"
"1","Dacă două conductoare parcurse de curenţi în acelaşi sens sunt aşezate paralel, unul lângă altul:","densitatea de curent scade în părţile apropiate ale conductoarelor","densitatea de curent creşte în părţile mai depărtate ale conductoarelor","densitatea de curent este uniformă pe ambele părţi ale conductoarelor","b"
"1","Energia transmisă de undele electromagnetice cu intensitatea câmpului electric E şi intensitatea câmpului magnetic H se propagă după un vector:","S=E+H","S=HxE","S=ExH","c"
"1","Dacă o forţă electromotoare E, montată în latura AB a unei reţele pasive, produce în latura CD a reţelei un curent I, montarea f.e.m. E în latura CD va produce în latura AB:","un curent - (minus) I","un curent I","un curent I/2","b"
"1","Dacă printr-un condensator circulă un curent alternativ sinusoidal, la bornele sale se produce o cădere de tensiune:","defazată cu 90 de grade în urma curentului","defazată cu 90 de grade înaintea curentului","în fază cu curentul","a"
"1","Funcţionarea în doua faze a unui transformator trifazat are ca efect:","supraîncălzirea acestuia","suprasarcina","reducerea puterii tranzitate","c"
"1","Descărcătoarele cu oxid de zinc protejează echipamentele din reţele împotriva:","supratensiunilor","supracurenţilor","solicitărilor mecanice","a"
"1","Descărcătoarele cu oxizi de zinc sunt echipamente destinate:","protecţiei personalului de exploatare împotriva electrocutării","protecţiei împotriva supratensiunilor","protecţiei împotriva supracurenţilor","b"
"1","Diferenţa de potenţial la bornele a n baterii de condensatoare montate în serie este egală cu:","suma diferenţelor de potenţial la bornele fiecărui condensator","diferenţa de potenţial la bornele fiecărui condensator în parte","diferenţa de potenţial a unui condensator împărţită la n","a"
"1","Două funcţii periodice sinusoidale sunt armonice între ele dacă:","raportul perioadelor lor este un număr întreg oarecare","au aceeaşi perioadă","raportul perioadelor lor este egal cu 1/2","a"
"1","Două sisteme de fazori trifazaţi oarecare, care au vârfuri comune şi origini diferite care se descompun în componente simetrice:","au aceleaşi componente directe (pozitive)","au aceleaşi componente inverse (negative)","au aceleaşi componente homopolare (zero)","b"
"1","În cazul conexiunii în stea la transformator:","tensiunea de linie este egala cu tensiunea de faza","curentul de linie este egal cu ~1,73 x curentul de faza","tensiunea de linie este egala cu ~1,73 x tensiunea de faza","c"
"1","Efectul pelicular al curentului este utilizat în:","încălzirea materialelor prin inducţie","eliminarea dezechilibrelor din reţeaua electrică","eliminarea distorsiunilor undelor de curent","a"
"1","Efectul pelicular al unui curent care străbate un conductor masiv se datorează:","unor curenţi paraziţi induşi în conductor, simetrici faţă de axa acestuia","unor forţe electromotoare induse datorită variaţiei curentului","capacităţii conductorului faţă de pământ","b"
"1","Energia electrica reactiva:","este o energie electrica complementara, care serveşte la magnetizarea bobinajelor","se poate transforma în energie mecanica","se poate transforma în energie luminoasa","a"
"1","Energia electromagnetică produsă de curentul i care parcurge un circuit care conţine o inductanţă L este egală cu:","1/2 L i","1/2 Li2","Li","b"
"1","Energia electrostatică a unui conductor izolat în spaţiu, încărcat cu o sarcină q şi aflat la un potenţial V este egală cu:","1/2 q V","q V","2 q V","a"
"1","În cazul producerii unui scurtcircuit într-o instalaţie, are loc următorul fenomen:","creste tensiunea de alimentare a instalaţiei","creste impedanţa echivalenta a instalaţiei","creste curentul de alimentare a instalaţiei","c"
"1","Enunţul ""sarcinile electrice nu pot fi create si nici distruse, ci doar mutate"" reprezintă:","legea conservării sarcinii electrice","legea lui Coulomb","legea lui Laplace","a"
"1","Enunţul ""suma algebrică a forţelor electromotoare dintr-o buclă a unei reţele electrice este egală cu suma algebrică a căderilor de tensiune din buclă"" reprezintă:","Prima lege a lui Kirchhoff","a doua lege a lui Kirchhoff","Legea Joule -Lenz","b"
"1","Expresia B x i x l , unde i este intensitatea curentului care străbate un conductor de lungime l, situat perpendicular pe câmpul de inducţie magnetică de mărime B, reprezintă:","o forţă","o tensiune","o rezistenţă","a"
"1","Expresia matematica a legii lui Ohm pentru o porţiune de circuit este:","I = U / R","I = UxR","I = U - R","a"
"1","Extinderea domeniului de măsurare la ampermetre se realizează cu:","rezistente adiţionale","shunturi","bobine înseriate","b"
"1","Extinderea domeniului de măsurare la voltmetre se realizează cu:","shunturi","rezistente adiţionale","condensatoare montate în paralel","b"
"1","Factorul de atenuare al unui circuit format dintr-un rezistor de rezistenţă R înseriat cu o bobină de inductanţă L, alimentate de o forţă electromotoare constantă este egal cu:","R/L","L/R","1","b"
"1","Fluxul electric total, emis de o sarcină electrică de valoare q printr-o suprafaţă închisă care o înconjoară, este egal cu:","valoarea numerică 2q","valoarea numerică q","valoarea numerică q/2","b"
"1","Folosirea conductoarelor jumelate în construcţia LEA are ca scop principal:","reducerea pierderilor Corona","reducerea solicitărilor mecanice ale stâlpilor","reducerea curenţilor de scurtcircuit","a"
"1","Formula de calcul a frecventei produsa în sistemul electroenergetic de un generator cu n [rot/min] si p perechi de poli este:","f =n p / 60","f = 60 n / p","f = 60 p / n","a"
"1","Formula e = B l v, unde e este forţa electromotoare, B este inducţia magnetica, l este lungimea unui conductor, v este viteza de deplasare a acestuia, reprezintă o forma particulara a:","teoremelor Biot-Savart","legii inducţiei electromagnetice","legii circuitului magnetic","b"
"1","Forţa care se exercită asupra unui conductor rectiliniu, parcurs de curentul i, aflat în câmpul de inducţie magnetică B se numeşte:","forţă electromagnetică (Laplace)","forţă electrodinamică","forţă magnetomotoare","a"
"1","Forţa care se exercită între două conductoare străbătute de curenţi electrici se numeşte:","forţă electrocinetică","forţă electrodinamică","forţă magnetomotoare","b"
"1","Forţa electromotoare de inducţie care apare într-un circuit închis, prin variaţia fluxului magnetic, este:","direct proporţională cu variaţia în timp a fluxului magnetic","invers proporţională cu variaţia în timp a fluxului magnetic","dependentă de modul în care este produs fluxul magnetic","a"
"1","Forţa electrodinamică exercitată între două conductoare filiforme, paralele, lungi, aflate la distanţa r, străbătute de câte un curent:","este direct proporţională cu distanţa r dintre conductoare","este invers proporţională cu distanţa r dintre conductoare","nu depinde de distanţa r dintre conductoare","b"
"1","Forţa F care se exercită asupra unei sarcini electrice q aflată într-un câmp electric de intensitate E are expresia:","F=E/q","F=qE","F=q/E","b"
"1","Frecvenţa unei mărimi periodice este inversul:","amplitudinii","perioadei","fazei","b"
"1","Funcţionarea contoarelor de inducţie are la baza:","curenţii turbionari","efectul termic al curentului electric","forţa electrostatica","a"
"1","În instalaţiile de joasa tensiune, legarea la pământ este justificatã:","din motive economice","pentru diminuarea suprasolicitărilor echipamentelor electrice","pentru securitatea muncii","c"
"1","Funcţionarea în suprasarcinã a unui transformator reprezintă:","un regim de avarie","un regim temporar admisibil","un regim inadmisibil","b"
"1","Funcţionarea transformatoarelor electrice are la bazã:","fenomenul inducţiei electromagnetice","efectul termic al curentului electric","curenţii turbionari","a"
"1","Henry este unitatea de măsură pentru:","fluxul magnetic","inductanţă","inducţia magnetică","b"
"1","Împărţirea fiecărei faze a unei instalaţii capsulate într-un anumit număr de compartimente atrage după sine:","limitarea posibilităţilor de producere a unui defect în instalaţie;","mărirea riscului de producere a unor scăpări de gaz;","mărirea cantităţilor de gaz ce trebuie manipulate în cazul intervenţiei la un compartiment.","a"
"1","Împărţirea fiecărei faze a unei instalaţii capsulate într-un anumit număr de compartimente atrage după sine:","limitarea posibilităţilor de producere a unui defect în instalaţie;","localizarea unor eventuale scăpări de gaz, precum şi a unor defecte interne,","mărirea cantităţilor de gaz ce trebuie manipulate în cazul intervenţiei la un compartiment","b"
"1","În cazul apariţiei fenomenului de rezonanţă într-un circuit de curent alternativ, alimentat de la o sursă, aceasta furnizează circuitului:","numai energie activă","energie activă şi reactivă","numai energie reactivă","a"
"1","În cazul circuitelor de curent alternativ, teoremele lui Kirchhoff sunt întotdeauna satisfăcute pentru:","valorile instantanee ale tensiunilor şi curenţilor","valorile efective ale tensiunilor şi curenţilor","modulele fazorilor asociaţi tensiunilor şi curenţilor","a"
"1","În posturi de transformare se folosesc transformatoare răcite cu lichide neinflamabile atunci când:","sunt restricţii de poluare a mediului;","sunt restricţii de toxicitate pentru personalul de exploatare;","amplasarea postului se face în zone aglomerate.","c"
"1","În cazul în care echiparea circuitelor electrice de alimentare a motoarelor electrice se face cu siguranţă fuzibilă şi contactor cu relee termice:","siguranţa fuzibilă realizează protecţia la suprasarcină;","siguranţa fuzibilă realizează protecţia la scurtcircuit;","siguranţa fuzibilă realizează protecţia la supratensiuni;","b"
"1","În cazul în care echiparea circuitelor electrice de alimentare a motoarelor electrice se face cu siguranţă fuzibilă şi contactor cu relee termice:","releele termice realizează protecţia la suprasarcină;","releele termice realizează protecţia la scurtcircuit;","releele termice realizează protecţia la supratensiuni;","a"
"1","În cazul în care rezultanta unui sistem de fazori (de tensiune sau de curent) este nulă:","sistemul nu are componentă simetrică inversă (negativă)","sistemul nu are componentă simetrică homopolară (zero)","sistemul are componentă simetrică directă (pozitivă)","b"
"1","În cazul pornirii stea triunghi a motoarelor asincrone, curentul de pornire la conexiunea stea este:","1/3 din curentul de pornire la conexiunea triunghi","de 3 ori curentul de pornire la conexiunea triunghi","de 2 ori curentul de pornire la conexiunea triunghi","a"
"1","În posturi de transformare se preferă folosirea transformatoarelor răcite cu aer atunci când:","sunt restricţii de teren;","sunt restricţii privitoare la zgomot;","amplasarea postului se face în zone aglomerate.","c"
"1","În cazul punerii nete la pământ a fazei S într-o reţea de 20 kV cu neutrul izolat:","tensiunea pe fazele R si T rămâne neschimbata , iar tensiunea fazei defecte S se apropie de 0","tensiunea pe fazele R si T creste la valoarea tensiunii de linie iar pe faza S se apropie de 0","cresc tensiunile pe fazele R si T, iar pe faza defecta S rămâne neschimbata","b"
"1","În cazul scăderii sau întreruperii tensiunii de alimentare, motoarele asincrone se pot opri, iar la restabilirea tensiunii:","ele autopornesc, indiferent de tipul constructiv al rotorului în scurtcircuit","pentru a reporni necesită dispozitiv de pornire","ele autopornesc numai dacă au rotor în dublă colivie","a"
"1","În cazul schemelor cu două sisteme de bare colectoare şi un întreruptor pe circuit, funcţionarea cu ambele sisteme de bare sub tensiune este avantajoasă deoarece permite:","scurtarea duratei manevrelor în caz de ocolire a unui întreruptor;","micşorarea daunelor de nealimentare a consumatorilor în caz de scurtcircuit pe unul dintre sistemele de bare;","scurtarea duratei manevrelor în caz de revizie a unuia dintre sistemele de bare colectoare.","b"
"1","În cazul schemelor cu două sisteme de bare colectoare şi un întreruptor pe circuit, funcţionarea cu unul dintre sistemele de bare în rezervă rece ( fără tensiune) este avantajoasă atunci când se doreşte::","scurtarea duratei manevrelor în caz de ocolire a unui întreruptor;","micşorarea daunelor de nealimentare a consumatorilor în caz de scurtcircuit pe unul dintre sistemele de bare;","scurtarea duratei manevrelor în caz de revizie a unuia dintre sistemele de bare colectoare.","c"
"1","În cazul unei scheme cu două bare colectoare şi un întreruptor pe circuit este de preferat ca în regim normal de funcţionare:","una dintre barele colectoare să fie sub tensiune, cealaltă bară fiind menţinută în rezervă rece;","ambele bare colectoare să fie sub tensiune, cupla transversală fiind menţinută în funcţiune;","ambele bare colectoare să fie menţinute sub tensiune, cupla transversală fiind în rezervă caldă.","b"
"1","În cazul unei staţii cu un sistem de bare colectoare secţionat longitudinal şi prevăzut cu o cuplă longitudinală cu întreruptor şi AAR, cupla se menţine:","în rezervă caldă;","în rezervă rece;","În funcţiune","a"
"1","În echipamentul electric, uleiul electroizolant are următoarele funcţii din punct de vedere electric:","izolează partile sub tensiune între ele si fatã de masã","stinge arcul electric care apare in întrerupătoare","asigura ungerea mecanismelor de acţionare","b"
"1","Într-o schemă cu 1,5 întreruptoare pe circuit:","este necesară o cuplă de ocolire;","este necesară o cuplă transversală;","nu sunt necesare circuite de cuplă transversală şi de ocolire","c"
"1","Într-o schemă de conexiuni bara şi cupla de ocolire servesc la:","scoaterea în revizie a unui întreruptor, cu două scurte întreruperi;","scoaterea în revizie a unei bare colectoare;","scoaterea în revizie a unui întreruptor, fără întreruperea alimentării pe circuitul respectiv.","c"
"1","În posturi de transformare se folosesc transformatoare uscate atunci când:","amplasarea postului se face în zone aglomerate;","nu sunt restricţii de teren;","nu este posibilă asigurarea unei răciri corespunzătoare a bobinajelor.","a"
"1","Într-o schemă poligon cu patru laturi:","este necesară o cuplă de ocolire;","este necesară o cuplă transversală;","nu este necesară o cuplă transversală.","c"
"1","În sens general, actualizarea unui fond reprezintă:","calculul valorii acestui fond la un anumit an ales ca referinţă;","calculul valorii acestui fond la N ani înainte de PIF;","calculul valorii acestui fond la N ani după PIF.","a"
"1","Scopul supraînaltarii echipamentelor electrice din instalatii electrice exterioare este asigurarea","accesului mai comod în instalatie","esteticii si claritatii instalatiei","securitatii personalului de exploatare","c"
"1","În tubul de porţelan al unei siguranţe de înalta tensiune, nisipul are rolul:","de a consolida elementele fuzibile","de a mari puterea de rupere a siguranţei","de a menţine temperatura constanta a siguranţei","b"
"1","Temperatura înfăşurărilor statorice ale generatoarelor electrice este determinată de:","temperatura mediului ambiant","tensiunea între faze","pierderile Joule-Lenz","c"
"1","Inductanţa de serviciu ( lineică) a unei linii electrice lungi este definită prin:","inductanţa uniform răspândită l, definită prin puterea reactivă absorbită într-un element de linie infinit mic","inductanţa uniform răspândită l, definită prin puterea reactivă produsă de un element de linie infinit mic","pierderile Joule disipate într-un element de linie infinit mic","a"
"1","Inductanţa proprie a unei bobine prin care trece un curent de intensitate i este raportul între ....... şi acest curent","fluxul propriu al bobinei","inducţia magnetică","forţa electromotoare","a"
"1","Intensitatea câmpului electric într-un anumit punct se măsoară prin:","raportul dintre forţa exercitata asupra unei sarcini electrice în acel punct si mărimea sarcinii","derivata în raport cu spaţiul cu semn schimbat a potenţialului în acel punct","raportul dintre tensiunea aplicata unui conductor si rezistenta acestuia","a"
"1","Intensitatea câmpului magnetic într-un punct exterior unui conductor rectiliniu străbătut de curentul continuu de intensitate i, aflat la distanţă r de conductor este:","invers proporţională cu r","direct proporţională cu pătratul lui r","direct proporţională cu r","a"
"1","Într-o reţea cu neutrul legat la pământ, valoarea cea mai mare a intensităţii curentului de scurtcircuit, pentru acelaşi punct de defect, corespunde, de regulã, defectului:","monofazat","trifazat","bifazat","b"
"1","Într-un circuit format dintr-un rezistor de rezistenta R în serie cu o bobina de inductanţa L, în momentul alimentarii de o sursa de curent continuu cu tensiune U:","curentul creste instantaneu la valoarea U/R","curentul nu circula prin acest circuit","curentul ajunge la valoarea U/R după un timp","c"
"1","Într-un circuit R-L serie de curent alternativ, tensiunea la bornele rezistorului este de 100 V, iar tensiunea la bornele bobinei este de 70 V. Tensiunea la bornele circuitului R-L este:","170V","30 V","122 V","c"
"1","Într-o schemă electrică având un sistem de bare colectoare, separatorul asigură:","deconectarea unor curenţi de suprasarcină;","izolarea unei părţi din instalaţie de altă parte a instalaţiei aflată sub tensiune;","comutaţia curentului în regim normal de funcţionare.","a"
"1","Într-o schemă electrică prevăzută cu mai multe sisteme de bare colectoare, separatorul de bare asigură:","selectarea sistemului de bare pe care urmează a fi conectat circuitul;","izolarea unei părţi a circuitului de bara colectoare aflată sub tensiune;","comutaţia curentului în regim normal de funcţionare.","b"
"1","Într-un conductor curentul alternativ are densitatea:","uniforma","mai mare în centrul conductorului","mai mare la periferia conductorului","b"
"1","Într-o staţie cu două sisteme de bare colectoare, cupla transversală:","se poate utiliza pentru cuplarea în paralel a celor două sisteme de bare colectoare care sunt sub tensiune;","nu se poate utiliza pentru ocolirea unui întreruptor de linie pe durata unei revizii sau reparaţii;","nu se poate utiliza pentru verificarea stării izolaţiei unui sistem de bare colectoare, care până în momentul respectiv a fost scos de sub tensiune.","a"
"1","Într-o staţie cu două sisteme de bare colectoare, cupla transversală:","nu se poate utiliza pentru cuplarea în paralel a celor două sisteme de bare colectoare care sunt sub tensiune;","nu se poate utiliza pentru ocolirea unui întreruptor de linie pe durata unei revizii sau reparaţii;","se poate utiliza pentru verificarea stării izolaţiei unui sistem de bare colectoare, care până în momentul respectiv a fost scos de sub tensiune.","c"
"1","Într-o staţie cu două sisteme de bare colectoare, cupla transversală:","se poate utiliza pentru cuplarea în paralel a celor două sisteme de bare colectoare care sunt sub tensiune;","se poate utiliza pentru ocolirea unui întreruptor de linie pe durata unei revizii sau reparaţii;","nu se poate utiliza pentru verificarea stării izolaţiei unui sistem de bare colectoare, care până în momentul respectiv a fost scos de sub tensiune.","b"
"1","Într-un circuit de curent alternativ în care puterea activa absorbita este 4 kW iar puterea reactiva este de 3 kVAr, factorul de putere este:","0,8","0,75","4/3","a"
"1","Într-un circuit electric monofazat cu caracter inductiv tensiunea este defazata fata de curent:","înainte cu 90 de grade","cu zero grade (sunt în faza)","cu 90 de grade în urma","a"
"1","La conectarea unui circuit de linie se recomandă următoarea ordine a manevrelor:","separatorul de linie, separatorul de bare, întreruptorul;","separatorul de bare, întreruptorul, separatorul de linie;","separatorul de bare, separatorul de linie, întreruptorul .","c"
"1","Într-un circuit rezistiv, având rezistenta R=5 ohm si la bornele căruia se aplica o tensiune de 100 V, curentul este de:","20 A","500 A","95 A","a"
"1","La deconectarea unui circuit de linie se recomandă următoarea ordine a manevrelor:","separatorul de linie, întreruptorul, separatorul de bare;","separatorul de bare, întreruptorul, separatorul de linie;","întreruptorul, separatorul de linie, separatorul de bare.","c"
"1","Într-un circuit serie format dintr-un rezistor de rezistenţă R, o bobină de inductanţă L şi un condensator de capacitate C, curentul din circuit este defazat în urma tensiunii la borne dacă:","reactanţa totală a circuitului X este > 0","reactanţa totală a circuitului X este <0","reactanţa totală a circuitului este =0","a"
"1","La generatorul sincron viteza de rotaţie a câmpului magnetic al statorului fata de viteza de rotaţie a rotorului maşinii este:","mai mare","mai mica","egala","c"
"1","Intr-un tor (solenoid de formă circulară bobinat), energia magnetică produsă de un curent care străbate bobinajul torului este localizată:","integral în câmpul magnetic din volumul torului","integral în câmpul magnetic din afara torului","1/2 din energie este înmagazinată în volumul torului, iar 1/2 în afara torului","a"
"1","Inversa rezistenţei echivalente a n rezistoare legate în paralel este egală cu:","suma rezistenţelor celor n rezistoare","suma inverselor rezistenţelor celor n rezistoare","suma pătratelor rezistenţelor celor n rezistoare","b"
"1","La maşina sincrona turaţia variază în funcţie de sarcina astfel:","creste când sarcina creste","scade când sarcina scade","rămâne constanta la variaţia sarcinii","c"
"1","La conectarea unui circuit de linie se recomandă următoarea ordine a manevrelor:","separatorul de bare, întreruptorul, separatorul de linie;","separatorul de bare, separatorul de linie, întreruptorul;","întreruptorul, separatorul de linie, separatorul de bare.","b"
"1","La deconectarea unui circuit de linie se recomandă următoarea ordine a manevrelor:","separatorul de linie, întreruptorul, separatorul de bare;","întreruptorul, separatorul de linie, separatorul de bare;","întreruptorul, separatorul de bare, separatorul de linie.","b"
"1","La un transformator cu grupa de conexiuni Y0 d-5 alimentat cu un sistem simetric de tensiuni, între neutru si pământ, în regim normal si simetric de funcţionare avem:","tensiunea de linie","tensiunea de faza","tensiunea zero","c"
"1","La funcţionarea în gol a unei linii electrice tensiunea la capăt:","creşte faţă de tensiunea la sursă proporţional cu pătratul lungimii liniei","scade faţă de tensiunea la sursă proporţional cu lungimea liniei","nu se modifică","a"
"1","Legea lui Ohm pentru o porţiune de circuit este valabila:","doar în curent continuu","doar în curent alternativ","indiferent de natura circuitului","c"
"1","Legile lui Kirchhoff se aplică:","numai circuitelor liniare","numai circuitelor cu elemente neliniare","circuitelor liniare şi circuitelor neliniare","c"
"1","La o instalaţie cu mai multe condensatoare conectate în serie, căderea de tensiune pe fiecare condensator este:","direct proporţionala cu capacitatea","invers proporţionala cu capacitatea","nu depinde de capacitate","b"
"1","La o maşina electrica asincrona turaţia variază:","cu curentul de excitaţie","cu frecventa","cu sarcina","b"
"1","La pornirea motoarelor electrice asincrone se urmăreşte:","reducerea vibraţiilor rotorului","reducerea curentului electric absorbit de motor","reducerea tensiunii la bornele de alimentare ale motorului","b"
"1","La transformatoarele la care comutarea ploturilor se face cu transformatorul în sarcina, comutatorul de ploturi se montează:","pe înfăşurarea de tensiune mai mica, deoarece tensiunea este mai mica","pe înfăşurarea de tensiune mai mare, deoarece curentul este mai mic","pe oricare dintre înfăşurări","b"
"1","Materialele feromagnetice au permeabilitatea relativa:","mai mica decât 1","puţin mai mare decât 1","mult mai mare decât 1","c"
"1","Legea a 2-a a lui Kirchhoff pentru un circuit de curent alternativ monofazat inductiv are forma:","u = R i","u= L di/dt","du = i/C dt","b"
"1","Legea lui Coulomb exprimã:","forţa de interacţiune dintre corpuri punctuale încărcate cu sarcini electrice","fluxul electric printr-o suprafaţa sferica","diferenţa de potenţial între doua puncte","a"
